pickup_datetime,dropoff_datetime,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,trip_distance,passenger_count,hour,day_of_week,is_rush_hour,trip_duration_min,speed_kmh,congestion_index
2026-09-01 09:44:00,2026-09-01 10:05:33,30.888454,75.902371,30.924199,75.867166,5.6,2,9,1,1,21.55,15.591647331786541,1.6102088167053366
2026-09-01 11:05:00,2026-09-01 11:20:01,30.911112,75.878107,30.853058,75.904291,8.19,1,11,1,0,15.016666666666667,32.72364039955605,1.1819089900110988
2026-09-01 09:20:00,2026-09-01 09:32:09,30.881424,75.859776,30.894195,75.836423,3.63,1,9,1,1,12.15,17.925925925925924,1.5518518518518518
2026-09-01 07:06:00,2026-09-01 07:13:22,30.896607,75.885818,30.870967,75.858723,4.81,1,7,1,0,7.366666666666666,39.17647058823529,1.0205882352941178
2026-09-01 08:20:00,2026-09-01 08:49:20,30.857505,75.902189,30.947563,75.88814,10.68,1,8,1,1,29.333333333333332,21.845454545454544,1.4538636363636364
2026-09-01 21:54:00,2026-09-01 22:01:57,30.863204,75.856818,30.854439,75.898232,4.6,1,21,1,0,7.95,34.71698113207547,1.1320754716981134
2026-09-02 03:28:00,2026-09-02 03:41:27,30.905671,75.825785,30.947958,75.884813,8.75,2,3,2,0,13.45,39.033457249070636,1.024163568773234
2026-09-01 12:30:00,2026-09-01 12:32:52,30.859849,75.826898,30.855523,75.839833,2.03,1,12,1,0,2.8666666666666667,42.48837209302325,1.0
2026-09-02 05:41:00,2026-09-02 05:45:38,30.879093,75.86157,30.865092,75.88752,3.22,1,5,2,0,4.633333333333334,41.6978417266187,1.0
2026-09-01 07:46:00,2026-09-01 08:01:18,30.851552,75.888846,30.921686,75.880201,9.03,1,7,1,0,15.3,35.41176470588235,1.1147058823529412
2026-09-01 13:48:00,2026-09-01 14:00:32,30.93731,75.86963,30.88409,75.813656,8.56,1,13,1,0,12.533333333333333,40.97872340425533,1.0
2026-09-01 19:28:00,2026-09-01 19:54:27,30.939721,75.854521,30.862959,75.878624,10.01,1,19,1,1,26.45,22.706994328922498,1.4323251417769376
2026-09-01 21:16:00,2026-09-01 21:27:18,30.903273,75.850054,30.853542,75.818089,6.54,1,21,1,0,11.3,34.725663716814154,1.1318584070796462
2026-09-01 07:50:00,2026-09-01 08:03:40,30.941757,75.832229,30.892038,75.882855,7.83,1,7,1,0,13.666666666666666,34.37560975609756,1.140609756097561
2026-09-01 10:28:00,2026-09-01 10:39:30,30.94397,75.888112,30.91434,75.894446,4.59,1,10,1,1,11.5,23.94782608695652,1.401304347826087
2026-09-01 16:15:00,2026-09-01 16:28:50,30.931744,75.896909,30.8828,75.818305,9.75,2,16,1,0,13.833333333333334,42.28915662650602,1.0
2026-09-01 14:06:00,2026-09-01 14:13:42,30.851695,75.858375,30.892741,75.829511,5.68,1,14,1,0,7.7,44.25974025974026,1.0
2026-09-01 12:02:00,2026-09-01 12:09:15,30.902879,75.877602,30.887363,75.904478,4.54,1,12,1,0,7.25,37.57241379310345,1.0606896551724136
