pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_distance,passenger_count
2026-09-01 09:44:00,2026-09-01 10:05:33,30.888454,75.902371,30.924199,75.867166,5.6,2
2026-09-01 11:05:00,2026-09-01 11:20:01,30.911112,75.878107,30.853058,75.904291,8.19,1
2026-09-01 09:20:00,2026-09-01 09:32:09,30.881424,75.859776,30.894195,75.836423,3.63,1
2026-09-01 07:06:00,2026-09-01 07:13:22,30.896607,75.885818,30.870967,75.858723,4.81,1
2026-09-01 08:20:00,2026-09-01 08:49:20,30.857505,75.902189,30.947563,75.88814,10.68,1
2026-09-01 21:54:00,2026-09-01 22:01:57,30.863204,75.856818,30.854439,75.898232,4.6,1
2026-09-02 03:28:00,2026-09-02 03:41:27,30.905671,75.825785,30.947958,75.884813,8.75,2
2026-09-01 12:30:00,2026-09-01 12:32:52,30.859849,75.826898,30.855523,75.839833,2.03,1
2026-09-02 05:41:00,2026-09-02 05:45:38,30.879093,75.86157,30.865092,75.88752,3.22,1
2026-09-01 07:46:00,2026-09-01 08:01:18,30.851552,75.888846,30.921686,75.880201,9.03,1
2026-09-01 13:48:00,2026-09-01 14:00:32,30.93731,75.86963,30.88409,75.813656,8.56,1
2026-09-01 19:28:00,2026-09-01 19:54:27,30.939721,75.854521,30.862959,75.878624,10.01,1
2026-09-01 21:16:00,2026-09-01 21:27:18,30.903273,75.850054,30.853542,75.818089,6.54,1
2026-09-01 07:50:00,2026-09-01 08:03:40,30.941757,75.832229,30.892038,75.882855,7.83,1
2026-09-01 10:28:00,2026-09-01 10:39:30,30.94397,75.888112,30.91434,75.894446,4.59,1
2026-09-01 16:15:00,2026-09-01 16:28:50,30.931744,75.896909,30.8828,75.818305,9.75,2
2026-09-01 14:06:00,2026-09-01 14:13:42,30.851695,75.858375,30.892741,75.829511,5.68,1
2026-09-01 12:02:00,2026-09-01 12:09:15,30.902879,75.877602,30.887363,75.904478,4.54,1
2026-09-01 12:41:00,2026-09-01 12:49:13,30.879484,75.810989,30.911956,75.857568,5.98,1
2026-09-02 00:16:00,2026-09-02 00:35:07,30.865489,75.856245,30.949565,75.831506,10.7,1
2026-09-02 02:02:00,2026-09-02 02:07:52,30.887778,75.870531,30.914353,75.860877,3.41,1
2026-09-01 11:26:00,2026-09-01 11:40:49,30.855078,75.866389,30.918756,75.808959,9.8,1
2026-09-01 08:43:00,2026-09-01 08:53:32,30.920094,75.845974,30.944673,75.821052,4.26,2
2026-09-01 11:48:00,2026-09-01 12:01:42,30.876794,75.873298,30.932722,75.86282,7.18,2
2026-09-02 03:31:00,2026-09-02 03:41:59,30.941042,75.87061,30.884903,75.842221,7.94,1
2026-09-01 06:13:00,2026-09-01 06:32:47,30.915203,75.815714,30.867163,75.897155,10.4,1
2026-09-01 11:22:00,2026-09-01 11:35:09,30.851506,75.823381,30.905873,75.87649,8.92,1
2026-09-01 19:38:00,2026-09-01 19:56:00,30.88354,75.881949,30.915963,75.892222,4.78,1
2026-09-01 21:08:00,2026-09-01 21:21:22,30.87752,75.831699,30.948301,75.84661,9.34,1
2026-09-01 06:35:00,2026-09-01 06:43:03,30.90869,75.856552,30.870524,75.879545,5.33,1
2026-09-02 04:16:00,2026-09-02 04:25:32,30.945046,75.902693,30.942486,75.844316,5.79,3
2026-09-01 13:36:00,2026-09-01 13:54:22,30.947362,75.892601,30.880445,75.84581,9.97,1
2026-09-02 05:45:00,2026-09-02 05:59:57,30.944615,75.876903,30.908006,75.817018,8.0,1
2026-09-01 13:02:00,2026-09-01 13:05:50,30.938737,75.881377,30.920702,75.877548,2.7,1
2026-09-01 21:35:00,2026-09-01 21:45:04,30.937707,75.898624,30.902134,75.857452,6.8,1
2026-09-01 06:51:00,2026-09-01 07:02:32,30.940001,75.8411,30.888558,75.816698,7.12,1
2026-09-01 14:38:00,2026-09-01 14:51:38,30.879654,75.866383,30.85405,75.811035,7.26,1
2026-09-01 18:45:00,2026-09-01 18:51:49,30.927999,75.828882,30.913289,75.815835,2.32,1
2026-09-01 12:29:00,2026-09-01 12:41:54,30.923609,75.904885,30.90263,75.839596,7.87,1
2026-09-01 10:09:00,2026-09-01 10:45:30,30.853535,75.903565,30.934598,75.876897,10.08,1
